passenger_id,survived,pclass,sex,age,fare,family_size,is_alone,embarked,title_group
1,0,3,male,22.0,7.25,2,0,S,Mr
2,1,1,female,38.0,71.2833,2,0,C,Mrs
3,1,3,female,26.0,7.925,1,1,S,Miss
4,1,1,female,35.0,53.1,2,0,S,Mrs
5,0,3,male,35.0,8.05,1,1,S,Mr
6,0,3,male,,8.4583,1,1,Q,Mr
7,0,1,male,54.0,51.8625,1,1,S,Mr
8,0,3,male,2.0,21.075,5,0,S,Master
9,1,3,female,27.0,11.1333,3,0,S,Mrs
10,1,2,female,14.0,30.0708,2,0,C,Mrs
11,1,3,female,4.0,16.7,3,0,S,Miss
12,1,1,female,58.0,26.55,1,1,S,Miss
13,0,3,male,20.0,8.05,1,1,S,Mr
14,0,3,male,39.0,31.275,7,0,S,Mr
15,0,3,female,14.0,7.8542,1,1,S,Miss
16,1,2,female,55.0,16.0,1,1,S,Mrs
17,0,3,male,2.0,29.125,6,0,Q,Master
18,1,2,male,,13.0,1,1,S,Mr
19,0,3,female,31.0,18.0,2,0,S,Mrs
20,1,3,female,,7.225,1,1,C,Mrs
21,0,2,male,35.0,26.0,1,1,S,Mr
22,1,2,male,34.0,13.0,1,1,S,Mr
23,1,3,female,15.0,8.0292,1,1,Q,Miss
24,1,1,male,28.0,35.5,1,1,S,Mr
25,0,3,female,8.0,21.075,5,0,S,Miss
26,1,3,female,38.0,31.3875,7,0,S,Mrs
27,0,3,male,,7.225,1,1,C,Mr
28,0,1,male,19.0,263.0,6,0,S,Mr
29,1,3,female,,7.8792,1,1,Q,Miss
30,0,3,male,,7.8958,1,1,S,Mr
31,0,1,male,40.0,27.7208,1,1,C,Rare
32,1,1,female,,146.5208,2,0,C,Mrs
33,1,3,female,,7.75,1,1,Q,Miss
34,0,2,male,66.0,10.5,1,1,S,Mr
35,0,1,male,28.0,82.1708,2,0,C,Mr
36,0,1,male,42.0,52.0,2,0,S,Mr
37,1,3,male,,7.2292,1,1,C,Mr
38,0,3,male,21.0,8.05,1,1,S,Mr
39,0,3,female,18.0,18.0,3,0,S,Miss
40,1,3,female,14.0,11.2417,2,0,C,Miss
41,0,3,female,40.0,9.475,2,0,S,Mrs
42,0,2,female,27.0,21.0,2,0,S,Mrs
43,0,3,male,,7.8958,1,1,C,Mr
44,1,2,female,3.0,41.5792,4,0,C,Miss
45,1,3,female,19.0,7.8792,1,1,Q,Miss
46,0,3,male,,8.05,1,1,S,Mr
47,0,3,male,,15.5,2,0,Q,Mr
48,1,3,female,,7.75,1,1,Q,Miss
49,0,3,male,,21.6792,3,0,C,Mr
50,0,3,female,18.0,17.8,2,0,S,Mrs
51,0,3,male,7.0,39.6875,6,0,S,Master
52,0,3,male,21.0,7.8,1,1,S,Mr
53,1,1,female,49.0,76.7292,2,0,C,Mrs
54,1,2,female,29.0,26.0,2,0,S,Mrs
55,0,1,male,65.0,61.9792,2,0,C,Mr
56,1,1,male,,35.5,1,1,S,Mr
57,1,2,female,21.0,10.5,1,1,S,Miss
58,0,3,male,28.5,7.2292,1,1,C,Mr
59,1,2,female,5.0,27.75,4,0,S,Miss
60,0,3,male,11.0,46.9,8,0,S,Master
61,0,3,male,22.0,7.2292,1,1,C,Mr
62,1,1,female,38.0,80.0,1,1,,Miss
63,0,1,male,45.0,83.475,2,0,S,Mr
64,0,3,male,4.0,27.9,6,0,S,Master
65,0,1,male,,27.7208,1,1,C,Mr
66,1,3,male,,15.2458,3,0,C,Master
67,1,2,female,29.0,10.5,1,1,S,Mrs
68,0,3,male,19.0,8.1583,1,1,S,Mr
69,1,3,female,17.0,7.925,7,0,S,Miss
70,0,3,male,26.0,8.6625,3,0,S,Mr
71,0,2,male,32.0,10.5,1,1,S,Mr
72,0,3,female,16.0,46.9,8,0,S,Miss
73,0,2,male,21.0,73.5,1,1,S,Mr
74,0,3,male,26.0,14.4542,2,0,C,Mr
75,1,3,male,32.0,56.4958,1,1,S,Mr
76,0,3,male,25.0,7.65,1,1,S,Mr
77,0,3,male,,7.8958,1,1,S,Mr
78,0,3,male,,8.05,1,1,S,Mr
79,1,2,male,0.83,29.0,3,0,S,Master
80,1,3,female,30.0,12.475,1,1,S,Miss
81,0,3,male,22.0,9.0,1,1,S,Mr
82,1,3,male,29.0,9.5,1,1,S,Mr
83,1,3,female,,7.7875,1,1,Q,Miss
84,0,1,male,28.0,47.1,1,1,S,Mr
85,1,2,female,17.0,10.5,1,1,S,Miss
86,1,3,female,33.0,15.85,4,0,S,Mrs
87,0,3,male,16.0,34.375,5,0,S,Mr
88,0,3,male,,8.05,1,1,S,Mr
89,1,1,female,23.0,263.0,6,0,S,Miss
90,0,3,male,24.0,8.05,1,1,S,Mr
91,0,3,male,29.0,8.05,1,1,S,Mr
92,0,3,male,20.0,7.8542,1,1,S,Mr
93,0,1,male,46.0,61.175,2,0,S,Mr
94,0,3,male,26.0,20.575,4,0,S,Mr
95,0,3,male,59.0,7.25,1,1,S,Mr
96,0,3,male,,8.05,1,1,S,Mr
97,0,1,male,71.0,34.6542,1,1,C,Mr
98,1,1,male,23.0,63.3583,2,0,C,Mr
99,1,2,female,34.0,23.0,2,0,S,Mrs
100,0,2,male,34.0,26.0,2,0,S,Mr
