trip_date,daily_trips,daily_revenue,avg_distance,rolling_7d_avg_trips
2024-01-01,81013,2442843.25,4.4,81013.0
2024-01-02,75519,2282196.02,4.12,78266.0
2024-01-03,82427,2357588.48,3.88,79653.0
2024-01-04,102901,2800511.06,3.31,85465.0
2024-01-05,103178,2728672.52,3.75,89007.6
2024-01-06,97117,2436272.32,3.13,90359.2
2024-01-07,67543,1898102.16,3.88,87099.7
2024-01-08,80034,2216447.23,3.51,86959.9
2024-01-09,93962,2363882.49,3.83,89594.6
2024-01-10,95000,2550418.13,3.35,91390.7
2024-01-11,105010,2905318.19,3.59,91692.0
2024-01-12,103655,2862882.13,4.23,91760.1
2024-01-13,104758,2649939.94,3.77,92851.7
2024-01-14,94420,2459841.63,3.31,96691.3
2024-01-15,77033,2165047.64,3.73,96262.6
2024-01-16,93057,2634860.07,3.72,96133.3
2024-01-17,110365,2979925.5,3.83,98328.3
2024-01-18,110358,2943299.54,3.01,99092.3
2024-01-19,95951,2479618.86,3.01,97991.7
2024-01-20,108768,2617354.05,3.54,98564.6
2024-01-21,84502,2265160.37,4.82,97147.7
2024-01-22,85650,2359736.24,3.4,98378.7
2024-01-23,99891,2636942.08,2.97,99355.0
2024-01-24,105120,2791643.56,3.51,98605.7
2024-01-25,110318,3002982.05,3.98,98600.0
2024-01-26,105804,2812237.72,3.38,100007.6
2024-01-27,110515,2712188.01,2.82,100257.1
2024-01-28,92837,2434776.25,3.33,101447.9
2024-01-29,84547,2338564.77,3.4,101290.3
2024-01-30,101233,2640791.29,6.03,101482.0
2024-01-31,102120,2685897.95,3.16,101053.4
