pickup_hour,weekday_trips,weekend_trips,avg_hourly_fare
0,39521,39569,19.2
1,22605,31022,17.53
2,14825,22692,16.48
3,10945,13866,18.15
4,9415,7327,22.52
5,15381,3383,26.62
6,35811,5618,21.65
7,74816,8903,18.54
8,102497,14712,17.65
9,105881,23089,17.71
10,107065,31713,17.75
11,112209,38333,17.43
12,119636,44923,17.48
13,123579,46324,18.12
14,136366,46532,18.95
15,142100,47259,18.77
16,140697,49504,19.12
17,157556,48701,17.84
18,164770,48018,16.72
19,140327,43705,17.29
20,123315,36674,17.7
21,123762,37126,17.95
22,106355,36904,18.69
23,74712,34563,19.76
