PULocationID,DOLocationID,total_trips,gross_revenue,revenue_rank
1,1,263,27468.73,1
1,264,13,1644.63,2
1,265,13,762.03,3
1,230,1,204.7,4
1,68,1,197.5,5
2,263,1,90.94,1
2,70,1,46.9,2
2,216,1,40.75,3
3,3,12,458.44,1
3,231,7,389.82,2
3,265,2,291.44,3
3,137,4,182.0,4
3,88,3,165.0,5
4,79,266,4074.75,1
4,107,190,3100.47,2
4,114,170,2930.41,3
4,249,132,2737.26,4
4,148,175,2590.19,5
6,6,12,440.09,1
6,265,2,276.66,2
6,1,1,115.98,3
6,17,1,43.73,4
6,228,1,22.01,5
7,7,336,5198.07,1
7,223,118,1900.76,2
7,138,36,1315.55,3
7,161,40,1293.78,4
7,132,19,1201.32,5
8,265,3,490.26,1
8,244,1,102.23,2
8,238,1,97.13,3
8,202,1,78.25,4
8,235,1,71.0,5
9,170,5,228.76,1
9,9,8,225.18,2
9,255,4,156.0,3
9,92,5,99.52,4
9,263,1,97.13,5
10,265,21,3685.95,1
10,10,106,3556.13,2
10,230,34,3154.78,3
10,48,28,2500.02,4
10,161,26,2338.25,5
11,197,6,318.0,1
11,133,4,180.67,2
11,140,3,145.0,3
11,170,2,107.88,4
11,239,2,98.0,5
12,230,78,3004.38,1
12,161,45,1715.62,2
12,100,39,1304.25,3
12,163,25,1145.61,4
12,164,28,1005.41,5
13,132,287,26579.79,1
13,138,304,25458.96,2
13,162,490,19318.09,3
13,231,1291,18883.46,4
13,230,479,17219.83,5
14,14,77,2063.46,1
14,163,10,848.54,2
14,128,12,744.94,3
14,127,10,610.0,4
14,242,7,523.76,5
15,15,5,195.53,1
15,137,2,107.38,2
15,196,3,98.88,3
15,61,2,95.57,4
15,230,1,94.85,5
16,16,11,457.02,1
16,188,8,376.0,2
16,265,2,242.96,3
16,225,4,184.0,4
16,140,3,152.88,5
17,17,26,786.64,1
17,132,11,637.81,2
17,137,19,507.6,3
17,61,26,439.42,4
17,97,21,376.41,5
18,68,12,579.36,1
18,209,8,431.64,2
18,18,11,328.24,3
18,92,4,253.65,4
18,246,4,197.12,5
19,19,13,608.38,1
19,140,2,175.42,2
19,137,3,172.82,3
19,75,2,167.89,4
19,265,5,156.3,5
20,25,8,437.44,1
20,20,10,296.76,2
20,186,6,253.94,3
20,148,5,226.94,4
20,140,5,193.88,5
21,21,23,575.97,1
21,35,14,534.0,2
21,140,9,481.82,3
21,265,1,369.16,4
21,108,6,168.44,5
22,22,12,437.64,1
22,170,9,424.88,2
22,140,7,342.94,3
22,75,4,232.88,4
22,26,10,191.45,5
23,23,3,51.1,1
23,118,1,23.1,2
24,239,961,17088.03,1
24,238,996,13159.34,2
24,142,416,8986.4,3
24,236,412,8550.32,4
24,237,216,5692.72,5
25,25,92,1606.3,1
25,132,19,1497.01,2
25,138,20,1046.39,3
25,162,20,836.29,4
25,181,47,800.29,5
26,26,41,1251.99,1
26,161,12,538.76,2
26,75,5,282.77,3
26,165,11,229.08,4
26,205,3,208.0,5
27,27,1,83.0,1
27,16,1,67.6,2
27,228,1,62.85,3
27,91,1,24.16,4
27,201,1,23.7,5
28,132,17,1250.85,1
28,28,43,702.24,2
28,107,10,697.34,3
28,170,9,619.33,4
28,230,7,610.83,5
29,107,12,675.2,1
29,29,16,483.98,2
29,235,6,433.94,3
29,102,8,361.5,4
29,162,5,292.88,5
30,140,1,51.0,1
30,77,1,35.76,2
30,63,1,23.19,3
31,31,1,131.01,1
31,68,1,67.9,2
31,216,1,46.0,3
31,141,1,42.35,4
31,238,1,35.0,5
31,140,1,35.0,5
32,142,6,294.54,1
32,68,4,203.86,2
32,244,5,185.36,3
32,32,10,182.33,4
32,56,4,169.88,5
33,132,28,2456.58,1
33,33,101,1586.02,2
33,161,36,1524.71,3
33,138,25,1271.52,4
33,162,28,1180.75,5
34,34,5,213.15,1
34,174,3,153.0,2
34,100,2,83.98,3
34,48,2,78.5,4
34,168,1,71.28,5
35,136,8,743.86,1
35,35,21,734.47,2
35,75,12,658.5,3
35,137,12,531.91,4
35,177,28,483.44,5
36,36,28,790.97,1
36,132,7,355.67,2
36,142,5,251.85,3
36,79,7,248.48,4
36,41,3,248.3,5
37,37,58,2544.93,1
37,132,16,804.09,2
37,140,13,619.13,3
37,79,12,432.37,4
37,61,19,384.87,5
38,226,9,442.5,1
38,38,18,438.08,2
38,140,7,431.7,3
38,230,4,352.28,4
38,137,5,277.88,5
39,140,27,1586.52,1
39,39,61,936.66,2
39,137,14,751.94,3
39,68,16,709.82,4
39,170,12,663.64,5
40,40,17,721.97,1
40,231,23,685.73,2
40,233,15,672.21,3
40,33,47,590.3,4
40,138,9,513.6,5
41,41,689,10325.31,1
41,238,400,6675.65,2
41,42,524,6340.65,3
41,74,519,6164.59,4
41,166,499,5832.45,5
42,42,469,8736.78,1
42,41,346,4013.87,2
42,74,246,3430.03,3
42,75,145,2499.3,4
42,238,80,1790.11,5
43,161,3977,73931.29,1
43,237,3397,54950.56,2
43,142,3222,53785.41,3
43,236,3229,52725.69,4
43,239,2923,48315.0,5
44,265,1,354.23,1
45,230,131,4542.02,1
45,79,193,3551.86,2
45,132,42,3278.94,3
45,45,115,2739.24,4
45,170,99,2737.62,5
46,79,1,58.94,1
46,209,1,56.0,2
46,242,2,54.0,3
46,215,1,52.0,4
46,74,1,40.0,5
47,140,15,533.83,1
47,61,5,282.94,2
47,47,7,241.47,3
47,26,3,188.94,4
47,74,7,187.29,5
48,68,5187,77470.46,1
48,132,843,75851.09,2
48,48,4760,74550.8,3
48,239,3196,60570.19,4
48,142,3937,59460.02,5
49,132,13,855.33,1
49,138,16,725.81,2
49,49,31,718.45,3
49,51,11,664.76,4
49,256,9,479.46,5
50,68,945,16188.5,1
50,48,1129,15190.61,2
50,246,1013,14939.47,3
50,138,174,13187.08,4
50,239,737,13025.49,5
51,83,22,1183.42,1
51,140,16,709.76,2
