tpep_pickup_datetime,PULocationID,DOLocationID,trip_distance,fare_amount,fare_z_score,dist_z_score
2024-01-20 11:19:33,264,264,0.0,5000.0,288.51,-0.02
2024-01-20 11:18:47,264,264,0.0,5000.0,288.51,-0.02
2024-01-24 13:44:43,264,264,0.0,2500.0,143.72,-0.02
2024-01-20 11:27:48,264,264,0.0,2500.0,143.72,-0.02
2024-01-20 11:20:15,264,264,0.0,2500.0,143.72,-0.02
2024-01-14 10:08:11,220,220,31.95,2221.3,127.58,0.12
2024-01-02 07:50:08,168,265,233.25,1616.5,92.55,1.0
2024-01-20 11:22:27,264,264,0.0,1000.0,56.85,-0.02
2024-01-06 21:01:38,132,265,142.62,912.3,51.77,0.61
2024-01-22 16:40:43,265,265,157.25,899.0,51.0,0.67
2024-01-01 21:59:33,132,132,0.21,820.0,46.42,-0.02
2024-01-18 11:20:40,33,33,0.0,800.0,45.26,-0.02
2024-01-18 11:26:33,33,33,0.0,800.0,45.26,-0.02
2024-01-17 10:46:15,161,265,109.75,761.1,43.01,0.46
2024-01-14 15:49:26,132,265,122.47,749.2,42.32,0.52
2024-01-26 23:59:09,143,265,120.76,744.3,42.04,0.51
2024-01-28 17:24:07,132,265,119.46,739.4,41.75,0.51
2024-01-21 20:33:50,265,265,0.0,709.0,39.99,-0.02
2024-01-07 12:38:39,246,265,0.11,700.0,39.47,-0.02
2024-01-07 19:27:28,132,265,111.57,678.5,38.23,0.47
2024-01-24 15:21:37,66,33,0.0,670.0,37.73,-0.02
2024-01-21 18:08:49,132,265,110.46,669.4,37.7,0.47
2024-01-16 19:00:33,132,265,210.2,650.0,36.57,0.9
2024-01-29 19:19:21,132,216,2.46,650.0,36.57,-0.01
2024-01-24 21:40:43,132,265,94.47,637.9,35.87,0.4
2024-01-02 08:51:02,132,265,97.12,620.4,34.86,0.41
2024-01-28 14:41:20,138,265,92.34,607.8,34.13,0.39
2024-01-07 19:19:53,265,265,0.0,600.0,33.68,-0.02
2024-01-31 21:14:50,132,265,94.52,595.2,33.4,0.4
2024-01-27 15:42:54,132,265,99.0,591.7,33.2,0.42
2024-01-17 00:54:07,132,265,97.22,586.1,32.87,0.41
2024-01-17 17:14:51,132,265,97.91,585.4,32.83,0.41
2024-01-24 23:39:07,265,265,0.0,577.96,32.4,-0.02
2024-01-15 19:12:25,265,265,0.0,577.0,32.35,-0.02
2024-01-15 17:08:34,219,265,91.73,569.3,31.9,0.38
2024-01-26 12:49:27,132,265,153.2,550.4,30.81,0.65
2024-01-25 08:09:01,132,265,84.19,539.2,30.16,0.35
2024-01-07 18:24:15,138,265,82.65,536.4,30.0,0.34
2024-01-08 13:42:42,132,265,87.95,530.8,29.67,0.37
2024-01-14 15:50:28,132,132,0.0,525.0,29.34,-0.02
2024-01-07 13:34:30,265,265,0.0,520.08,29.05,-0.02
2024-01-07 12:21:40,265,265,0.0,519.99,29.04,-0.02
2024-01-17 00:27:53,265,265,14.0,515.0,28.76,0.04
2024-01-07 10:37:08,132,265,82.72,509.8,28.45,0.34
2024-01-21 09:32:49,132,265,68.8,505.0,28.18,0.28
2024-01-05 09:24:54,138,265,77.42,503.5,28.09,0.32
2024-01-27 21:37:17,216,216,0.0,500.0,27.89,-0.02
2024-01-02 12:57:32,264,264,0.0,500.0,27.89,-0.02
2024-01-13 15:52:58,168,168,0.0,500.0,27.89,-0.02
2024-01-20 16:25:28,265,265,0.0,500.0,27.89,-0.02
2024-01-20 10:08:35,132,265,105.25,500.0,27.89,0.44
2024-01-29 21:39:18,100,100,1.5,500.0,27.89,-0.01
2024-01-12 10:40:28,168,265,210.82,500.0,27.89,0.9
2024-01-29 13:03:01,265,265,0.0,500.0,27.89,-0.02
2024-01-29 09:29:31,246,246,0.0,500.0,27.89,-0.02
2024-01-18 11:30:18,33,33,0.01,500.0,27.89,-0.02
2024-01-21 07:16:52,132,265,84.39,495.1,27.6,0.35
2024-01-11 13:22:14,132,265,87.39,493.0,27.48,0.37
2024-01-29 15:15:42,132,265,83.92,487.4,27.16,0.35
2024-01-30 21:09:03,37,37,0.0,485.0,27.02,-0.02
2024-01-27 10:45:06,226,265,68.93,485.0,27.02,0.28
2024-01-30 22:55:47,132,132,0.05,485.0,27.02,-0.02
2024-01-23 21:37:28,138,265,72.82,480.4,26.75,0.3
2024-01-29 21:20:41,218,218,0.0,480.0,26.73,-0.02
2024-01-29 22:55:48,132,132,0.0,480.0,26.73,-0.02
2024-01-28 03:44:53,19,19,0.0,475.0,26.44,-0.02
2024-01-11 08:15:57,48,265,73.99,474.8,26.43,0.31
2024-01-26 05:25:32,161,265,69.11,459.4,25.54,0.29
2024-01-13 17:57:22,132,265,120.86,457.0,25.4,0.51
2024-01-08 00:51:44,132,132,0.0,450.0,24.99,-0.02
2024-01-28 15:23:43,132,265,64.7,450.0,24.99,0.27
2024-01-27 21:40:01,216,216,0.0,450.0,24.99,-0.02
2024-01-09 14:14:49,132,265,101.1,450.0,24.99,0.42
2024-01-27 11:03:35,132,265,76.77,450.0,24.99,0.32
